2597,潤弘精密工程事業股份有限公司,	66394146,2010/03/26
2601,益航股份有限公司,	03353007,1965/11/04
2603,長榮海運股份有限公司,	11337775,1987/09/21
2605,新興航運股份有限公司,	11812103,1989/12/08
2606,裕民航運股份有限公司,	47067419,1990/12/08
2607,長榮國際儲運股份有限公司,	04406559,1990/12/14
2608,嘉里大榮物流股份有限公司,	51015548,1990/12/20
2609,陽明海運股份有限公司,	04200199,1992/04/20
2610,中華航空股份有限公司,	11145904,1993/02/26
2611,志信國際股份有限公司,	33853232,1993/10/28
2612,中國航運股份有限公司,	43778070,1994/10/20
2613,中國貨櫃運輸股份有限公司,	39014517,1995/01/20
2614,東森國際股份有限公司,	04964250,1995/09/23
2615,萬海航運股份有限公司,	11395000,1996/05/16
2616,山隆通運股份有限公司,	33983853,1997/11/08
2617,台灣航業股份有限公司,	03564713,1998/06/24
2618,長榮航空股份有限公司,	23225229,2001/09/17
2630,亞洲航空股份有限公司,	11381701,2018/02/22
2633,台灣高速鐵路股份有限公司,	16446274,2016/10/27
2634,漢翔航空工業股份有限公司,	97160544,2014/08/25
2636,台驊國際控股股份有限公司,	22358734,2016/12/22
2637,慧洋海運股份有限公司,	25637751,2010/12/01
2642,台灣宅配通股份有限公司,	70624227,2013/12/12
2645,長榮航太科技股份有限公司,	16097775,2023/03/14
2646,星宇航空股份有限公司,	51712072,2024/10/25
2701,萬華企業股份有限公司,	15415013,1965/03/22
2702,華園飯店股份有限公司,	75560601,1965/02/14
2704,國賓大飯店股份有限公司,	11636802,1982/11/10
2705,六福開發股份有限公司,	11081274,1988/12/24
2706,第一華僑大飯店股份有限公司,	11587957,1991/06/25
2707,晶華國際酒店股份有限公司,	04268726,1998/03/09
2712,遠雄悅來大飯店股份有限公司,	23986016,2013/12/03
2722,夏都國際開發股份有限公司,	89434676,2012/03/14
2723,開曼美食達人股份有限公司,	39682101,2010/11/22
2727,王品餐飲股份有限公司,	84630426,2012/03/06
2731,雄獅旅行社股份有限公司,	04655091,2013/09/24
2739,寒舍餐旅管理顧問股份有限公司,	70471881,2016/05/19
2748,雲品國際酒店股份有限公司,	54023418,2016/11/23
2753,八方雲集國際股份有限公司,	70472679,2021/09/09
2762,世界健身事業有限公司,	94497159,2024/01/24
2801,彰化商業銀行股份有限公司,	51811609,1962/02/15
2809,京城商業銀行股份有限公司,	68921101,1983/07/20
2812,台中商業銀行股份有限公司,	51816908,1984/05/15
2816,旺旺友聯產物保險股份有限公司,	03110001,1992/05/05
2820,中華票券金融股份有限公司,	12198359,1994/10/26
2832,台灣產物保險股份有限公司,	03557115,1997/09/30
2834,臺灣中小企業銀行股份有限公司,	03793407,1998/01/03
2836,高雄銀行股份有限公司,	79854797,1998/05/18
2838,聯邦商業銀行股份有限公司,	86380802,1998/06/29
2845,遠東國際商業銀行股份有限公司,	86517096,1998/11/27
2849,安泰商業銀行股份有限公司,	86928561,1999/09/27
2850,新光產物保險股份有限公司,	03458403,2000/05/22
2851,中央再保險股份有限公司,	11081991,2000/07/06
2852,第一產物保險股份有限公司,	03359109,2000/11/28
2855,統一綜合證券股份有限公司,	23218183,2002/09/16
2867,三商美邦人壽保險股份有限公司,	84443471,2012/12/18
2880,華南金融控股股份有限公司,	70826764,2001/12/19
2881,富邦金融控股股份有限公司,	03374805,2001/12/19
2882,國泰金融控股股份有限公司,	70827406,2001/12/31
2883,凱基金融控股股份有限公司,	70827383,2001/12/28
2884,玉山金融控股股份有限公司,	70796305,2002/01/28
2885,元大金融控股股份有限公司,	70796749,2002/02/04
2886,兆豐金融控股股份有限公司,	70796754,2002/02/04
2887,台新金融控股股份有限公司,	80328055,2002/02/18
2888,新光金融控股股份有限公司,	80328219,2002/02/19
2889,國票金融控股股份有限公司,	80330257,2002/03/26
2890,永豐金融控股股份有限公司,	80333183,2002/05/09
2891,中國信託金融控股股份有限公司,	80333992,2002/05/17
2892,第一金融控股股份有限公司,	80351999,2003/01/02
2897,王道商業銀行股份有限公司,	70745361,2017/05/05
2901,欣欣大眾市場股份有限公司,	11364230,1976/05/07
2903,遠東百貨股份有限公司,	03521905,1978/10/11
2904,匯僑股份有限公司,	12195466,1983/01/05
2905,三商投資控股股份有限公司,	11052709,1988/09/19
